tipe,tingkatKesulitan,status,semester,materi,kurikulum,tujuanPembelajaran,tags,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunciJawaban
"essay","sedang","draft","ganjil","Bola Basket","Kurikulum Merdeka - Fase B","Siswa mampu menjelaskan chest pass","bola basket, chest pass, passing","Jelaskan cara melakukan chest pass dalam permainan bola basket.","","","","","Bola dipegang di depan dada, siku ditekuk, satu kaki dapat melangkah, lalu kedua lengan diluruskan dan pergelangan tangan dilecutkan ke arah teman."
"essay","sedang","aktif","ganjil","Bola Voli","Kurikulum 2013 Revisi","Siswa mampu menjelaskan passing bawah","bola voli, passing bawah, teknik","Sebutkan tiga hal yang harus diperhatikan saat melakukan passing bawah.","","","","","Kedua tangan dirapatkan, lutut ditekuk, bola mengenai lengan bawah, dan arah dorongan dikendalikan menuju sasaran. Tiga poin yang benar dapat diterima."
"essay","mudah","arsip","ganjil","Permainan Kasti","Kurikulum 2013 Revisi","Siswa mampu mengenali peran dalam permainan kasti","kasti, bola kecil, kerja sama","Sebutkan tiga keterampilan dasar yang digunakan dalam permainan kasti.","","","","","Melempar, menangkap, memukul, dan berlari. Siswa cukup menyebutkan tiga."
"essay","sulit","aktif","ganjil","Atletik - Lompat Jauh","Kurikulum Merdeka - Fase B","Siswa mampu mengurutkan tahapan lompat jauh","atletik, lompat jauh, urutan gerak","Jelaskan empat tahapan utama dalam melakukan lompat jauh secara berurutan.","","","","","Awalan, tolakan atau tumpuan, melayang di udara, dan pendaratan."
"essay","sedang","aktif","genap","Senam Lantai","Kurikulum Merdeka - Fase B","Siswa mampu menjelaskan keselamatan guling depan","senam lantai, guling depan, keselamatan","Mengapa matras dan pemanasan diperlukan sebelum melakukan guling depan?","","","","","Pemanasan menyiapkan otot dan sendi, sedangkan matras mengurangi benturan sehingga risiko cedera menjadi lebih kecil."
"essay","mudah","aktif","genap","Gerak Berirama","Kurikulum Merdeka - Fase B","Siswa mampu membuat rangkaian gerak berirama","gerak berirama, koordinasi, kreativitas","Buatlah urutan empat gerakan sederhana yang dapat dilakukan mengikuti irama musik.","","","","","Jawaban bervariasi, misalnya melangkah kanan, melangkah kiri, mengayun kedua tangan, lalu bertepuk tangan sesuai ketukan."
"essay","sedang","draft","genap","Kebugaran Jasmani","Kurikulum Merdeka - Fase B","Siswa mampu merancang latihan sederhana","kebugaran, latihan, pemanasan","Susun kegiatan olahraga sederhana selama 15 menit yang terdiri atas pemanasan, latihan inti, dan pendinginan.","","","","","Contoh: 3 menit pemanasan, 9 menit latihan inti seperti jogging dan gerak kekuatan ringan, serta 3 menit pendinginan dan peregangan."
"essay","sulit","aktif","genap","Denyut Nadi","Kurikulum 2013 Revisi","Siswa mampu menganalisis perubahan denyut nadi","denyut nadi, pengamatan, kebugaran","Mengapa denyut nadi meningkat setelah berlari dan berangsur turun setelah beristirahat?","","","","","Saat berlari tubuh membutuhkan lebih banyak oksigen sehingga jantung memompa lebih cepat. Ketika istirahat kebutuhan menurun dan denyut berangsur kembali normal."
"essay","sedang","aktif","genap","Keselamatan di Air","Kurikulum Merdeka - Fase B","Siswa mampu menerapkan aturan keselamatan berenang","renang, keselamatan, kolam","Tuliskan lima aturan keselamatan yang harus dipatuhi ketika berada di kolam renang.","","","","","Contoh: pemanasan, mengikuti guru, tidak berlari di tepi kolam, tidak mendorong teman, menggunakan area sesuai kemampuan, dan tidak berenang sendirian. Lima jawaban benar diterima."
"essay","mudah","aktif","genap","Gizi Seimbang","Kurikulum Merdeka - Fase B","Siswa mampu menyusun menu sehat","gizi, menu sehat, makanan","Tuliskan satu contoh menu makan siang bergizi seimbang untuk anak sekolah.","","","","","Jawaban memuat sumber karbohidrat, protein, sayur atau buah, dan air putih, misalnya nasi, ikan, sayur bayam, pepaya, dan air putih."
"essay","sedang","arsip","genap","Kebersihan Diri","Kurikulum 2013 Revisi","Siswa mampu menjelaskan kebersihan setelah olahraga","kebersihan, pakaian, kesehatan","Jelaskan apa saja yang perlu dilakukan setelah berolahraga agar tubuh tetap bersih dan sehat.","","","","","Melakukan pendinginan, minum air, mengeringkan keringat, mandi, mengganti pakaian bersih, dan membersihkan perlengkapan pribadi."
"essay","sulit","aktif","genap","Pertolongan Pertama","Kurikulum Merdeka - Fase B","Siswa mampu menentukan tindakan aman saat cedera","P3K, cedera, keselamatan","Seorang teman terjatuh saat bermain dan pergelangan kakinya terasa sakit. Jelaskan tindakan aman yang harus kamu lakukan.","","","","","Hentikan aktivitas, bantu teman beristirahat, jangan memaksa berdiri, kompres dingin dengan pelapis, laporkan kepada guru atau orang dewasa, dan cari bantuan medis bila diperlukan."
"essay","sedang","aktif","ganjil","Sportivitas dan Kerja Sama","Kurikulum Merdeka - Fase B","Siswa mampu menerapkan nilai karakter dalam olahraga","sportivitas, kerja sama, karakter","Berikan tiga contoh sikap sportif dan tiga contoh kerja sama yang dapat dilakukan saat pertandingan beregu.","","","","","Sportif: menaati aturan, jujur, menerima hasil. Kerja sama: berkomunikasi, mengoper kepada teman, membantu dan menyemangati anggota tim."
