tipe,tingkatKesulitan,status,semester,materi,kurikulum,tujuanPembelajaran,tags,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunciJawaban
"pg","sedang","aktif","ganjil","English - Family","Kurikulum Merdeka - Fase B","Mengenali anggota keluarga","english, family","My father's daughter is my ...","brother","sister","uncle","grandfather","b"
"pg","sedang","aktif","genap","English - Classroom","Kurikulum Merdeka - Fase B","Mengenali benda kelas","english, classroom","We use a pencil to ...","eat","write","sleep","drink","b"
"pg","sulit","aktif","genap","English - Daily Activity","Kurikulum Merdeka - Fase B","Memahami kegiatan harian","english, activity","Rina goes to school at seven. What does Rina do at seven?","She sleeps","She eats dinner","She goes to school","She plays football","c"
"pg","mudah","aktif","genap","English - Colors","Kurikulum Merdeka - Fase B","Mengenali warna","english, colors","The color of grass is usually ...","green","purple","black","pink","a"
"pg","mudah","aktif","ganjil","Bahasa Indonesia - Kata Baku","Kurikulum Merdeka - Fase B","Mengenali kata baku","bahasa indonesia, kata baku","Penulisan kata baku yang benar adalah ...","apotik","apotek","ijin","resiko","b"
"pg","mudah","aktif","ganjil","Bahasa Indonesia - Antonim","Kurikulum Merdeka - Fase B","Menentukan antonim","bahasa indonesia, antonim","Lawan kata 'rajin' adalah ...","tekun","pandai","malas","cepat","c"
"pg","sedang","aktif","ganjil","Bahasa Indonesia - Ide Pokok","Kurikulum Merdeka - Fase B","Menentukan ide pokok","bahasa indonesia, paragraf","Ide utama yang dibahas dalam sebuah paragraf disebut ...","judul","ide pokok","tanda baca","kata hubung","b"
"pg","sedang","aktif","genap","Bahasa Indonesia - Kalimat Tanya","Kurikulum Merdeka - Fase B","Menggunakan kata tanya","bahasa indonesia, kata tanya","Kata tanya untuk menanyakan alasan adalah ...","apa","siapa","mengapa","kapan","c"
"pg","sulit","aktif","genap","Bahasa Indonesia - Simpulan","Kurikulum Merdeka - Fase B","Menarik simpulan","bahasa indonesia, simpulan","Simpulan bacaan harus dibuat berdasarkan ...","pendapat tanpa alasan","isi bacaan","gambar sampul saja","judul saja","b"
"pg","mudah","aktif","genap","Bahasa Indonesia - Tanda Baca","Kurikulum Merdeka - Fase B","Menggunakan tanda baca","bahasa indonesia, tanda baca","Tanda baca pada akhir kalimat tanya adalah ...","titik","koma","tanda seru","tanda tanya","d"
"pg","mudah","aktif","ganjil","PPKn - Pancasila","Kurikulum Merdeka - Fase B","Mengenali simbol Pancasila","ppkn, pancasila","Simbol sila pertama Pancasila adalah ...","rantai","pohon beringin","bintang","kepala banteng","c"
"pg","mudah","aktif","ganjil","PPKn - Musyawarah","Kurikulum Merdeka - Fase B","Menerapkan musyawarah","ppkn, musyawarah","Keputusan bersama sebaiknya diambil melalui ...","pertengkaran","musyawarah","paksaan","perlombaan","b"
"pg","sedang","aktif","ganjil","PPKn - Hak","Kurikulum Merdeka - Fase B","Mengenali hak siswa","ppkn, hak","Salah satu hak siswa di sekolah adalah ...","mendapat pelajaran","merusak meja","datang terlambat","mengganggu teman","a"
"pg","sedang","aktif","genap","PPKn - Kewajiban","Kurikulum Merdeka - Fase B","Mengenali kewajiban siswa","ppkn, kewajiban","Kewajiban siswa saat kegiatan belajar adalah ...","bermain sendiri","memperhatikan guru","tidur di kelas","mengobrol keras","b"
"pg","sulit","aktif","genap","PPKn - Keberagaman","Kurikulum Merdeka - Fase B","Menghargai keberagaman","ppkn, keberagaman","Manfaat menghargai keberagaman adalah ...","menimbulkan perpecahan","menciptakan kerukunan","membatasi pertemanan","memperbesar perselisihan","b"
"pg","mudah","aktif","genap","PPKn - Gotong Royong","Kurikulum Merdeka - Fase B","Menerapkan gotong royong","ppkn, gotong royong","Membersihkan kelas bersama merupakan contoh ...","persaingan","gotong royong","pelanggaran","hukuman","b"
"pg","mudah","aktif","ganjil","Seni Budaya - Warna","Kurikulum Merdeka - Fase B","Mengenali warna primer","seni budaya, warna","Yang termasuk warna primer adalah ...","merah","hijau","ungu","cokelat","a"
"pg","mudah","aktif","ganjil","Seni Budaya - Musik","Kurikulum Merdeka - Fase B","Mengenali alat musik","seni budaya, musik","Alat musik yang dimainkan dengan cara dipukul adalah ...","seruling","drum","biola","gitar","b"
"pg","sedang","aktif","ganjil","Seni Budaya - Tari","Kurikulum Merdeka - Fase B","Mengenali unsur tari","seni budaya, tari","Gerak tari yang dilakukan sesuai ketukan berkaitan dengan unsur ...","irama","warna","bahan","ukuran","a"
"pg","sedang","aktif","genap","Seni Budaya - Kolase","Kurikulum Merdeka - Fase B","Mengenali teknik kolase","seni budaya, kolase","Kolase dibuat dengan cara ...","menempel berbagai bahan","meniup cat","melipat kertas saja","memahat batu","a"
"pg","sulit","aktif","genap","Seni Budaya - Tempo","Kurikulum Merdeka - Fase B","Membedakan tempo","seni budaya, tempo","Lagu pengantar tidur biasanya dinyanyikan dengan tempo ...","sangat cepat","lambat","semakin cepat","tidak beraturan","b"
"pg","mudah","aktif","genap","Seni Budaya - Pola Irama","Kurikulum Merdeka - Fase B","Mengenali pola irama","seni budaya, irama","Panjang pendek bunyi yang tersusun teratur disebut ...","pola irama","warna","tekstur","ruang","a"
"pg","sedang","aktif","ganjil","Matematika - Data","Kurikulum Merdeka - Fase B","Membaca data sederhana","matematika, data","Data nilai 7, 8, 8, 9. Nilai yang paling sering muncul adalah ...","7","8","9","10","b"
"pg","sedang","aktif","genap","English - Animals","Kurikulum Merdeka - Fase B","Mengenali nama hewan","english, animals","An animal that can fly is ...","bird","cat","fish","cow","a"
"pg","sedang","aktif","genap","Bahasa Indonesia - Sinonim","Kurikulum Merdeka - Fase B","Menentukan sinonim","bahasa indonesia, sinonim","Sinonim kata 'gembira' adalah ...","sedih","marah","senang","takut","c"
"pg","sedang","aktif","genap","PPKn - Aturan","Kurikulum Merdeka - Fase B","Mematuhi aturan","ppkn, aturan","Tujuan dibuatnya aturan adalah ...","menciptakan ketertiban","membatasi kebaikan","memicu konflik","menguntungkan satu orang","a"
"essay","mudah","aktif","ganjil","Matematika - Operasi Hitung","Kurikulum Merdeka - Fase B","Menjelaskan langkah hitung","matematika, hitung","Hitunglah 325 + 178 dan tuliskan langkah pengerjaannya.","","","","","503; jawaban menunjukkan proses penjumlahan yang benar."
"essay","sedang","aktif","genap","Matematika - Bangun Datar","Kurikulum Merdeka - Fase B","Menghitung luas persegi panjang","matematika, geometri","Sebuah persegi panjang memiliki panjang 12 cm dan lebar 5 cm. Hitung luasnya.","","","","","Luas = panjang × lebar = 12 × 5 = 60 cm²."
"essay","sedang","aktif","genap","Matematika - Pecahan","Kurikulum Merdeka - Fase B","Menerapkan pecahan","matematika, pecahan","Ibu memotong kue menjadi 8 bagian. Tiga bagian dimakan. Berapa bagian yang tersisa dalam bentuk pecahan?","","","","","Tersisa 5 dari 8 bagian atau 5/8."
"essay","mudah","aktif","ganjil","Agama - Syukur","Kurikulum Merdeka - Fase B","Menjelaskan sikap syukur","agama, syukur","Tuliskan tiga contoh sikap bersyukur dalam kehidupan sehari-hari.","","","","","Contoh: berdoa, menjaga kesehatan, merawat alam, dan berbagi. Tiga jawaban tepat diterima."
"essay","sedang","aktif","genap","Agama - Toleransi","Kurikulum Merdeka - Fase B","Menerapkan toleransi","agama, toleransi","Jelaskan cara menghormati teman yang berbeda agama.","","","","","Tidak mengganggu ibadah, tidak mengejek keyakinan, dan bekerja sama dalam kebaikan."
"essay","mudah","aktif","ganjil","English - Introduction","Kurikulum Merdeka - Fase B","Memperkenalkan diri","english, introduction","Write three sentences to introduce yourself in English.","","","","","Jawaban memuat nama, umur atau kelas, dan kesukaan dengan kalimat Inggris yang dapat dipahami."
"essay","sedang","aktif","genap","English - Daily Activity","Kurikulum Merdeka - Fase B","Menceritakan kegiatan harian","english, activity","Write four daily activities that you do before going to school.","","","","","Contoh: I wake up, take a bath, have breakfast, and prepare my school bag."
"essay","mudah","aktif","ganjil","Bahasa Indonesia - Paragraf","Kurikulum Merdeka - Fase B","Menulis paragraf","bahasa indonesia, paragraf","Tulislah satu paragraf pendek tentang menjaga kebersihan kelas.","","","","","Paragraf sesuai tema, memiliki gagasan utama, kalimat padu, dan tanda baca yang tepat."
"essay","sedang","aktif","genap","Bahasa Indonesia - Ide Pokok","Kurikulum Merdeka - Fase B","Menjelaskan ide pokok","bahasa indonesia, ide pokok","Jelaskan cara menemukan ide pokok dalam sebuah paragraf.","","","","","Membaca seluruh paragraf, menemukan kalimat utama, lalu menyimpulkan inti pembahasan."
"essay","sedang","aktif","genap","Bahasa Indonesia - Surat","Kurikulum Merdeka - Fase B","Menulis pesan","bahasa indonesia, surat","Buatlah pesan singkat untuk teman yang tidak masuk sekolah karena sakit.","","","","","Pesan memuat sapaan, perhatian atau doa, informasi seperlunya, dan penutup yang santun."
"essay","mudah","aktif","ganjil","PPKn - Hak dan Kewajiban","Kurikulum Merdeka - Fase B","Membedakan hak dan kewajiban","ppkn, hak, kewajiban","Tuliskan dua hak dan dua kewajibanmu sebagai siswa.","","","","","Hak: belajar dan menggunakan fasilitas. Kewajiban: mematuhi aturan dan menjaga kebersihan."
"essay","sedang","aktif","genap","PPKn - Musyawarah","Kurikulum Merdeka - Fase B","Menjelaskan musyawarah","ppkn, musyawarah","Mengapa kita perlu menghargai pendapat orang lain saat musyawarah?","","","","","Agar musyawarah berjalan tertib, adil, menghasilkan kesepakatan, dan menjaga kerukunan."
"essay","mudah","aktif","ganjil","Seni Budaya - Gambar","Kurikulum Merdeka - Fase B","Menjelaskan karya seni","seni budaya, gambar","Sebutkan tiga alat dan bahan yang dapat digunakan untuk menggambar.","","","","","Contoh: pensil, kertas, penghapus, krayon, atau pensil warna. Tiga jawaban diterima."
"essay","sedang","aktif","genap","Seni Budaya - Musik","Kurikulum Merdeka - Fase B","Membedakan alat musik","seni budaya, musik","Jelaskan perbedaan alat musik ritmis dan melodis serta berikan contohnya.","","","","","Ritmis mengatur irama, misalnya drum; melodis menghasilkan nada, misalnya pianika."
"essay","sedang","aktif","genap","Seni Budaya - Karya Kreatif","Kurikulum Merdeka - Fase B","Merancang karya","seni budaya, kreativitas","Jelaskan langkah sederhana membuat kolase dari daun kering.","","","","","Menyiapkan pola, memilih dan membersihkan daun, memberi lem, menempel sesuai pola, lalu merapikan karya."
